name,x_val,y_val
27143,0.6388437514,0.5976755975
64218,0.4327688683,0.7816707271
140902,0.0011214446,0.6762222211
4159,0.0244311043,0.6815578855
4582,0.7841838339,0.8327040097
10426,0.9057035319,0.6355930636
90737,0.7829440847,0.9024474951
100033413,0.8340572865,0.9660020729
729,0.7167653488,0.7556785291
5715,0.8758471994,0.4687604294
11168,0.7989738786,0.8758317265
30849,0.8372661542,0.9164333781
10446,0.7316520589,0.8033681158
1292,0.4824788092,0.7904944823
27292,0.3903327312,0.7949044533
54535,0.7303838261,0.8219972278
4707,0.2097506573,0.6426853910
8425,0.7239565341,0.7656752687
6085,0.6174269243,0.6015464180
5624,0.6077636653,0.8390087667
57480,0.6976011539,0.7099895337
83892,0.8099035431,0.9019321563
51000,0.8392281312,0.8575912938
8513,0.6216688982,0.6171105646
57655,0.6261340253,0.5723778584
92170,0.0663555398,0.7085339598
284086,0.7536292314,0.8487814414
156,0.7707961575,0.8664184936
64386,0.4968469429,0.8499430214
115939,0.8578088485,0.7705804076
407043,0.8157829636,0.9327788904
8324,0.6431581601,0.6614433022
221322,0.4421803536,0.8079684007
3205,0.7555487873,0.7808071124
80818,0.8650629879,0.6946741010
118663,0.5861425257,0.5479808228
50717,0.7916920488,0.8569484666
150472,0.7595470919,0.8251947182
587,0.1253039600,0.6011425754
8553,0.8749229937,0.4141561138
8852,0.5953867150,0.5565567883
10134,0.4717497219,0.8063013383
28958,0.7257208446,0.7634578324
55182,0.7164424844,0.7230052044
57616,0.7155065780,0.7495068905
26165,0.5467657579,0.8709569528
155382,0.8076084746,0.8679290610
80097,0.7495080506,0.7930748379
5053,0.5441820196,0.8641136394
353116,0.8423763163,0.9023615695
3726,0.7778289920,0.8341844359
89795,0.7004089988,0.6694134294
58480,0.7413204890,0.8283334786
150737,0.3442090934,0.7314011938
54497,0.9030572784,0.4258309331
3081,0.5914924873,0.8770973304
6670,0.7834635289,0.8069366515
158399,0.1134634566,0.7184375634
758,0.7117563249,0.7762559650
121599,0.0011214446,0.6762222211
3106,0.7580157978,0.8259573920
6860,0.7938201427,0.8921095550
1235,0.7290590496,0.7836732111
157378,0.8387104141,0.1204618668
1577,0.5054232278,0.3933991249
92255,0.7945743522,0.8553404457
10428,0.2427934696,0.6675338107
23327,0.8814113086,0.5996691069
25873,0.4528957409,0.8567860433
7008,0.4242336630,0.8548879027
203260,0.0960570501,0.7133970710
3396,0.4364597068,0.8248601067
1791,0.7496633749,0.8491854832
84066,0.7159196028,0.7406645454
23362,0.7334415130,0.7406155074
6117,0.8991424782,0.7424237403
144715,0.8004530253,0.8558129283
8831,0.8525210836,0.5505817564
5076,0.7101152425,0.7358153082
23097,0.7444399289,0.7990625571
7589,0.1737167784,0.7458124614
266747,0.8953055671,0.6607540701
53358,0.7802629455,0.8987758369
51020,0.8509282969,0.2615878589
54904,0.7611401875,0.8118409809
91319,0.8795256092,0.6356376942
91949,0.8094289671,0.9032081555
3170,0.6927122618,0.6694801739
339501,0.8378530968,0.9275380976
4540,0.6675381027,0.6776851930
84992,0.7244471461,0.7874552889
151903,0.6774333545,0.7177811603
8348,0.7656456889,0.8666809438
6447,0.6271656818,0.8601360270
374393,0.7490232050,0.7881660994
7374,0.2707740941,0.7090781471
84759,0.7942261031,0.8849486352
