,id,x_val,y_val,symbol,name
4718,25963,0.6795431922738145,0.6221947133115493,TMEM87A,transmembrane protein 87A
14548,8543,0.7943960062365109,0.8694129010732673,LMO4,LIM domain only 4
11301,6397,0.4900463780940887,0.4042042674051228,SEC14L1,SEC14 like lipid binding 1
435,10321,0.7073813832245973,0.762213338913671,CRISP3,cysteine rich secretory protein 3
11125,622,0.1689654528479375,0.6213446148771438,BDH1,3-hydroxybutyrate dehydrogenase 1
64,100131997,0.11204534445096875,0.7161028262625185,FAM27E3,family with sequence similarity 27 member E3
8031,50626,0.7090172055082326,0.7321450673879929,CYHR1,cysteine and histidine rich 1
11234,6362,0.8749944935554258,0.7813423695965375,CCL18,C-C motif chemokine ligand 18
6929,388324,0.7460742088275951,0.8093957151484819,INCA1,"inhibitor of CDK, cyclin A1 interacting protein 1"
5546,285668,0.8715171392154643,0.7137001223412605,C5orf64,chromosome 5 open reading frame 64
452,10344,0.0011214445976001253,0.676222221055853,CCL26,C-C motif chemokine ligand 26
1565,121340,0.6992731855955958,0.7097248538057376,SP7,Sp7 transcription factor
3779,22981,0.8103315373933123,0.8730849775225148,NINL,ninein like
9864,5580,0.5446212765464792,0.4833922448258158,PRKCD,protein kinase C delta
15296,91977,0.862417186608224,0.6363371180037887,MYOZ3,myozenin 3
8696,5239,0.6286644224013379,0.8786930669901454,PGM5,phosphoglucomutase 5
11299,6396,0.8266311865338263,0.929571492522089,SEC13,"SEC13 homolog, nuclear pore and COPII coat complex component"
12286,7066,0.8728390594743061,0.7177546827247526,THPO,thrombopoietin
6893,387263,0.7001065859158588,0.7046276718939265,C6orf120,chromosome 6 open reading frame 120
579,10494,0.33027773768847163,0.7092625299310965,STK25,serine/threonine kinase 25
14657,8650,0.42556621233313746,0.7552728166148627,NUMB,"NUMB, endocytic adaptor protein"
4551,257169,0.011963061353688605,0.680589649584327,C9orf43,chromosome 9 open reading frame 43
519,10432,0.9182516545783045,0.660761651978162,RBM14,RNA binding motif protein 14
12114,6853,0.7494052280913214,0.8211153623286698,SYN1,synapsin I
11220,6344,0.8067017105732658,0.8959227923721546,SCTR,secretin receptor
5216,27303,0.5841090705696088,0.8851743482151517,RBMS3,RNA binding motif single stranded interacting protein 3
14909,8970,0.7630134077915852,0.8678874446556708,HIST1H2BJ,histone cluster 1 H2B family member j
689,10621,0.8557632899293846,0.28865606978171765,POLR3F,RNA polymerase III subunit F
2348,147948,0.6462320996431452,0.6347683040735626,ZNF582,zinc finger protein 582
14735,8739,0.8363875530810461,0.05591508770477612,HRK,"harakiri, BCL2 interacting protein"
6137,3238,0.8706206355169308,0.6573126075151431,HOXD12,homeobox D12
13968,8402,0.8271545952564088,0.9390982825415307,SLC25A11,solute carrier family 25 member 11
9078,54734,0.12833420306703208,0.7247360605782701,RAB39A,"RAB39A, member RAS oncogene family"
9404,5515,0.8243729855376634,0.934807623866685,PPP2CA,protein phosphatase 2 catalytic subunit alpha
495,10401,0.8692550733282054,0.3861531026974248,PIAS3,protein inhibitor of activated STAT 3
6633,3664,0.872458906566565,0.5071427000501157,IRF6,interferon regulatory factor 6
8103,51006,0.7623472297367744,0.8148267574604124,SLC35C2,solute carrier family 35 member C2
8566,51652,0.20954757561504556,0.6425943805183072,CHMP3,charged multivesicular body protein 3
12586,7364,0.7142414665232404,0.7547836616599227,UGT2B7,UDP glucuronosyltransferase family 2 member B7
9819,55750,0.8237940168312361,0.9368657799577012,AGK,acylglycerol kinase
8829,5373,0.8682940085735663,0.7118265117820477,PMM2,phosphomannomutase 2
12558,7327,0.7846890923779837,0.8534365293977002,UBE2G2,ubiquitin conjugating enzyme E2 G2
8657,5190,0.6848738848808984,0.7211905868064045,PEX6,peroxisomal biogenesis factor 6
6435,347240,0.8109450930103344,0.8891246833575637,KIF24,kinesin family member 24
